time,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,djf,mam,jja,son,winter,summer,year
1864,-6.18,-1.63,4.03,6.34,11.73,13.73,16.45,14.91,12.05,6.44,2.26,-3.59,NA,7.37,15.03,6.92,NA,12.53,6.38
1865,-0.18,-2.76,-1.65,11.26,14.45,15.29,18.1,14.99,14.88,8.8,4.13,-2.08,-2.18,8.02,16.12,9.27,0.09,14.83,7.94
1866,1.52,3.29,3.04,8.39,9.24,16.49,16.38,14.02,13.44,8.14,3.04,1.58,0.91,6.89,15.63,8.21,3.12,12.99,8.22
1867,-1.29,4.23,3.28,7.72,11.96,14.77,15.42,16.79,13.72,6.12,1.02,-2.68,1.51,7.65,15.66,6.96,3.17,13.4,7.59
1868,-2.94,1.58,1.97,6.55,16.49,16.31,17.24,16.58,14.8,8.16,0.5,4.75,-1.35,8.34,16.71,7.82,0.85,14.66,8.5
1869,-1.68,4.2,-0.1,8.95,13.1,12.58,18.74,14.81,13.64,5.66,3.25,-1.66,2.42,7.31,15.38,7.52,2.64,13.64,7.62
1870,-2.27,-2.54,1.27,7.27,13.15,16,18.81,14.11,11.39,7.67,2.77,-4.45,-2.16,7.23,16.31,7.28,0.62,13.45,6.93
1871,-5.4,0.53,3.48,7.92,10.9,11.72,17.31,16.56,14.76,6.07,-0.28,-7.04,-3.11,7.43,15.2,6.85,0.77,13.19,6.38
1872,-0.36,0.45,4.49,8.02,10.59,14.38,17.55,14.83,13.67,8.66,5.39,2.22,-2.32,7.7,15.59,9.24,0.55,13.17,8.32
1873,0.44,-0.57,5.46,5.96,9.51,15.06,18.64,17.63,12.17,8.58,3.39,-1.5,0.7,6.98,17.11,8.05,3.6,13.16,7.9
1874,-0.93,-0.74,2.86,9.03,8.41,15.5,19.1,14.74,14.3,8.2,0.55,-2.62,-1.06,6.76,16.45,7.69,1.94,13.51,7.37
1875,0.98,-3.49,1.58,7.34,13.72,15.79,15.44,17.41,14.16,7.01,2.69,-3.3,-1.71,7.55,16.21,7.95,0.87,13.98,7.44
1876,-3.01,1.16,3.41,7.21,8.63,14.74,17.76,17.15,11.66,10.17,1.91,3.01,-1.72,6.42,16.55,7.92,1.33,12.86,7.82
1877,1.89,2.51,1.93,6.8,9.25,17.62,16.12,17.26,10.74,5.85,4.76,0.1,2.47,5.99,17,7.11,3.57,12.97,7.9
1878,-2.85,0.28,2.12,7.31,12.71,14.46,15.99,16.02,12.85,8.69,1.49,-3.18,-0.82,7.38,15.49,7.68,1.71,13.22,7.16
1879,-1.66,1.04,3.59,5.31,7.76,15.16,14.03,17.56,12.82,6.47,-0.21,-8.46,-1.27,5.55,15.58,6.36,1.66,12.11,6.12
1880,-5.4,0.28,5.66,7.83,10.36,13.34,17.61,15.22,13.25,8.4,3.97,4.02,-4.53,7.95,15.39,8.54,-0.28,12.94,7.88
1881,-4.07,1.3,4.69,6.52,10.64,14.37,19.41,16.54,11.11,4.53,4.65,-0.57,0.42,7.28,16.77,6.76,3.05,13.1,7.43
1882,-1.33,-0.05,5.28,7.12,11.78,13.72,14.84,14.33,11.04,8.65,4.05,0.79,-0.65,8.06,14.3,7.91,2.08,12.14,7.52
1883,0.04,2.25,-0.35,6.43,11.8,14.13,15.06,15.36,11.95,6.87,3.65,-0.83,1.03,5.96,14.85,7.49,2.57,12.46,7.2
1884,1.2,1.82,4.76,6.4,12.73,12,17.42,16.53,12.8,7.05,1.23,0.26,0.73,7.96,15.32,7.03,2.91,12.98,7.85
1885,-4.15,3.08,2.9,8.15,9.13,16.44,17.77,15.69,11.84,6.28,3.62,-0.78,-0.27,6.72,16.63,7.25,1.73,13.17,7.5
1886,-2.22,-2.81,1.81,8.51,11.77,13.14,17.05,15.99,14.73,8.93,3.74,0.06,-1.93,7.36,15.39,9.13,0.99,13.53,7.56
1887,-4.2,-2.52,0.34,6.7,8.83,16.14,18.59,15.81,11.38,4.01,1.96,-1.85,-2.22,5.29,16.85,5.79,1.06,12.91,6.27
1888,-3.28,-2.16,1.72,5.05,12.63,15.12,14.25,14.54,12.87,4.95,3.72,-0.87,-2.43,6.47,14.64,7.18,0.07,12.41,6.55
1889,-2.89,-2.4,0.34,5.88,12.9,15.94,15.89,14.95,11.06,7.07,2.5,-3.34,-2.05,6.37,15.59,6.87,0.47,12.77,6.49
1890,0.71,-3.47,2.89,6.39,12.44,13.81,14.83,15.17,11.74,5.71,2.2,-5.43,-2.03,7.24,14.6,6.55,1.06,12.4,6.42
1891,-6.25,-2.71,2.41,4.84,11.1,14.69,15.36,14.72,13.01,8.8,2.18,0.51,-4.8,6.12,14.92,8,-0.68,12.29,6.56
1892,-1.87,0.74,0.21,7.3,11.79,15.18,16,17.25,13.23,7.27,4.85,-2.47,-0.2,6.43,16.14,8.45,1.76,13.46,7.46
1893,-6.43,1.17,4.46,10.49,11.65,15.24,16.48,17.33,12.91,9.23,2,-1.24,-2.57,8.87,16.35,8.05,1.48,14.02,7.78
1894,-2.76,0.42,3.85,9.15,10.54,14.14,16.99,15.46,11.28,7.99,3.82,-1.39,-1.2,7.85,15.53,7.7,1.92,12.92,7.46
1895,-5.38,-7.49,1.19,8.27,11.32,15.01,17.21,16,15.7,7.27,5.88,0.69,-4.75,6.93,16.07,9.62,-0.21,13.92,7.14
1896,-2.55,-1.81,5.6,5.09,9.89,14.84,16.71,13.4,12.07,6.77,1.14,-0.35,-1.22,6.86,14.98,6.66,2.51,12,6.73
1897,-2.26,3.22,5.8,7.09,9.8,16.66,17.15,16.08,11.53,6.62,2.66,-0.58,0.21,7.56,16.63,6.94,2.39,13.05,7.81
1898,0.37,0.02,2.37,7.47,10.53,13.67,15.39,17.72,14.41,9.53,4.81,0.08,-0.06,6.79,15.59,9.58,1.91,13.2,8.03
1899,1.66,2.18,3.58,6.63,10.62,14.85,16.62,17.51,12.58,8.44,3.78,-2.52,1.31,6.94,16.33,8.27,3.64,13.14,7.99
1900,0.59,2.37,-0.12,6.39,10.38,15.91,18.11,15.18,14.4,8.48,4.01,1.6,0.14,5.55,16.4,8.96,2.09,13.4,8.11
1901,-2.45,-5.02,1.62,7.56,12.07,15.35,17.13,15.33,13.01,7.51,0.83,0.07,-1.95,7.09,15.94,7.11,1.38,13.41,6.92
1902,0.03,-0.68,3.5,9.22,7.62,13.9,17.07,15.31,12.35,7.27,1.98,-1.19,-0.19,6.78,15.43,7.2,1.87,12.58,7.2
1903,-1.16,1.69,4.68,3.96,11.56,13.5,15.4,15.76,12.91,8.91,3.28,-1.54,-0.22,6.73,14.89,8.37,2.21,12.18,7.41
1904,-2.16,0.91,3.05,8.9,12.67,15.68,19.31,17.23,11.05,7.91,2.04,0.41,-0.93,8.21,17.4,7,2.08,14.14,8.08
1905,-3.49,-0.35,4.29,7.3,10.13,15.59,19.18,16.06,12.75,3.42,2.66,-0.55,-1.14,7.24,16.95,6.27,1.8,13.5,7.25
1906,-0.38,-1.31,2.18,6.74,11.64,14.13,17.04,17.18,12.34,9.93,4.28,-3,-0.75,6.85,16.12,8.85,1,13.18,7.57
1907,-1.98,-3.01,1.97,5.65,12.05,14.36,14.68,16.63,13.33,9.14,4.18,1.73,-2.67,6.56,15.22,8.88,1.36,12.79,7.39
1908,-3.39,-0.37,1.92,5.05,13.17,16.72,16.22,14.51,11.78,7.6,1.59,-0.76,-0.68,6.71,15.82,6.99,2.2,12.91,7
1909,-3.36,-2.95,1.09,8.46,11.01,13.04,14.32,15.51,11.84,9.2,1.44,1.73,-2.36,6.85,14.29,7.49,0.53,12.36,6.78
1910,-0.18,0.91,3.3,6.37,10.2,14.93,14.5,15.29,10.51,8.78,2.4,2.19,0.82,6.62,14.91,7.23,2.73,11.97,7.43
1911,-4.18,0.07,3.45,6.22,11.74,14.29,19.44,19.4,14.75,8.08,4.83,2.21,-0.64,7.14,17.71,9.22,2.12,14.31,8.36
1912,0.26,3.29,5.73,6.26,12.37,14.7,15.81,12.91,7.98,6.55,0.88,0.75,1.92,8.12,14.47,5.14,4.07,11.67,7.29
1913,0.7,-0.08,5.41,6.83,11.29,14.28,13.61,14.83,11.85,9.2,6.01,0.26,0.46,7.84,14.24,9.02,2.37,12.12,7.85
1914,-4.81,1.56,4.19,9.28,9.71,13.37,15.04,15.76,12.02,7.45,2.26,2.38,-1,7.73,14.72,7.24,2.73,12.53,7.35
1915,-0.56,-0.14,2.05,5.83,13.62,16.63,15.65,14.72,10.92,5.72,0.76,4.18,0.56,7.17,15.67,5.8,2.24,12.89,7.45
1916,2.15,1.16,3.7,7.17,12.38,12.37,15.47,15.51,10.68,7.93,3.33,1.12,2.5,7.75,14.45,7.31,2.94,12.26,7.75
1917,-2.85,-2.99,0.9,4.02,14.49,16.83,16.37,15.13,14.62,6.21,2.87,-4.31,-1.57,6.47,16.11,7.9,1.24,13.58,6.77
1918,-0.54,0.2,3.19,7.07,13.09,12.59,16.39,15.86,12.84,6.29,2.96,2.78,-1.55,7.78,14.95,7.36,1.27,12.97,7.73
1919,-0.49,-1,3.12,4.16,11.39,15.18,13.6,17.92,14.68,4.71,1.4,0.98,0.43,6.22,15.57,6.93,2.27,12.82,7.14
1920,1.99,1.95,5.39,7.89,14.07,14.58,16.48,14.44,12.79,7.78,2.04,-0.06,1.64,9.12,15.16,7.54,2.74,13.37,8.28
1921,2.9,0.02,4.71,6.32,12.71,15.26,19.21,16.36,14.12,10.4,0.36,0.26,0.95,7.91,16.94,8.29,2.9,14,8.55
1922,-1.46,-0.18,3.8,5.25,13.85,15.38,15.21,15.53,10.54,5.97,1.5,0.11,-0.46,7.63,15.37,6.01,2.2,12.63,7.13
1923,-1.01,2.35,3.99,7.21,11.3,11.41,19.07,17.02,12.53,10.11,2.8,-0.27,0.48,7.5,15.83,8.48,2.15,13.09,8.04
1924,-2.18,-2.57,2.92,7.29,12.77,14.62,16.42,13.02,12.75,8.38,3.47,-0.04,-1.67,7.66,14.68,8.2,1.8,12.81,7.24
1925,0.92,2.25,0.59,7.31,11.82,15.65,16.16,15.52,10.51,8.66,1.57,0.11,1.04,6.57,15.78,6.91,2.59,12.83,7.59
1926,-0.57,4.48,4.05,8.7,9.9,12.43,15.92,16.16,14.99,8.73,5.38,-1.46,1.34,7.55,14.84,9.7,3.05,13.02,8.23
1927,-0.05,-0.27,4.3,7.79,12.55,14.79,16.64,15.27,12.91,7.73,3.55,-0.73,-0.59,8.21,15.57,8.06,2.77,13.33,7.87
1928,1.24,1.9,4.14,7.36,9.58,15.14,20.04,17.63,12.79,7.94,4.9,-0.58,0.8,7.03,17.6,8.55,2.97,13.76,8.51
1929,-4.93,-6.74,3.11,4.99,12.23,15.73,17.78,16.15,15.73,9.01,3.87,2.89,-4.08,6.78,16.55,9.53,0.62,13.77,7.48
1930,1.58,-0.47,4.56,8,10.41,17.57,15.56,15.86,13.58,8.16,5.88,0.51,1.33,7.66,16.33,9.2,3.57,13.49,8.43
1931,-0.65,-1.52,0.75,6.38,13.85,17.22,15.84,14.32,8.82,7.1,4.75,-1.41,-0.55,6.99,15.79,6.89,2.19,12.74,7.12
1932,-0.1,-4.01,1.31,5.89,10.67,13.93,15.86,18.49,15.63,8.23,3.98,0.38,-1.84,5.96,16.09,9.28,1.27,13.41,7.52
1933,-3.1,-0.02,4.24,7.99,10.32,12.52,17.65,17.57,13.65,8.58,2.43,-4.42,-0.91,7.52,15.91,8.22,2.29,13.28,7.28
1934,-1.05,-0.84,3.29,9.83,13.68,15.48,17.89,15.23,14.44,8.11,2.37,3.69,-2.1,8.93,16.2,8.31,1.33,14.43,8.51
1935,-2.67,1.16,2.42,6.53,10.16,16.9,18.1,15.48,13.59,8.05,4.44,-0.9,0.73,6.37,16.83,8.69,2.51,13.46,7.77
1936,3.34,0.6,5.3,6.58,12.17,14.53,15.62,15.79,13.01,5.04,3.48,0.85,1.01,8.02,15.32,7.17,3.47,12.95,8.03
1937,0.77,2.85,2.58,7.16,13.48,15.92,17.26,16.46,12.33,8.44,2.83,-1.16,1.49,7.74,16.55,7.87,2.59,13.77,8.24
1938,0.33,-0.59,6.12,4.69,10.17,16.18,16.1,15.93,13.37,8.08,5.55,-1.99,-0.47,6.99,16.07,9,2.66,12.74,7.83
1939,1.2,0.63,0.94,8.53,8.75,15.08,15.61,16.24,12.07,7.06,5.41,-1.27,-0.06,6.07,15.64,8.18,2.4,12.71,7.52
1940,-5.76,-0.2,3.63,7.61,11.51,14.64,15.37,14.83,13.02,7.64,4.37,-4.49,-2.41,7.58,14.95,8.34,1.48,12.83,6.85
